TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,G(t),Tp,ηref,A,P,Energi/hari,SSavg,Gavg,Tavg,Eavg,Etotal
2025-04-28,22,31.9,26.6,75,0,8,4,300,2,SE,666.6666667,46.6,0.18272,50,4872.533333,38.98026667,,,,,
2025-04-29,22.6,32.6,26.9,75,0,8,4,110,2,SE,666.6666667,46.9,0.18248,50,4866.133333,38.92906667,,,,,
2025-04-30,25.4,31.7,28,84,10.3,8,7,90,3,E,666.6666667,48,0.1816,50,4842.666667,38.74133333,,,,,
2025-05-01,24.1,31.6,28.1,82,19.4,8,7,70,4,E,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,7.75,645,28.5,37.16,1152.1
2025-05-02,26.8,32.1,28.6,74,0.7,8,7,110,4,E,666.6666667,48.6,0.18112,50,4829.866667,38.63893333,,,,,
2025-05-03,24.3,31.9,28.2,74,0,8,6,90,3,SE,666.6666667,48.2,0.18144,50,4838.4,38.7072,,,,,
2025-05-04,24.2,32.2,28.9,77,0,8,6,100,3,E,666.6666667,48.9,0.18088,50,4823.466667,38.58773333,,,,,
2025-05-05,26.8,32.2,28.8,81,1.6,8,7,100,3,E,666.6666667,48.8,0.18096,50,4825.6,38.6048,,,,,
2025-05-06,25.2,31.1,27.5,83,4.1,8,6,110,4,E,666.6666667,47.5,0.182,50,4853.333333,38.82666667,,,,,
2025-05-07,25.6,31.6,28.1,82,1.2,1,6,80,4,E,83.33333333,30.6,0.19552,50,651.7333333,0.6517333333,,,,,
2025-05-08,26.8,32.2,28.8,75,8888,7.4,8,70,4,E,616.6666667,47.3,0.18216,50,4493.28,33.250272,,,,,
2025-05-09,27.1,31.6,28.3,71,0,7.8,6,120,3,E,650,47.8,0.18176,50,4725.76,36.860928,,,,,
2025-05-10,26,32.4,28.6,77,0,8,5,100,3,E,666.6666667,48.6,0.18112,50,4829.866667,38.63893333,,,,,
2025-05-11,26.5,32.4,28.6,72,0,8,6,90,3,E,666.6666667,48.6,0.18112,50,4829.866667,38.63893333,,,,,
2025-05-12,26,31.7,28.1,70,0,8,6,90,3,E,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,,,,,
2025-05-13,25.3,33,28.3,75,0,8,5,110,3,SE,666.6666667,48.3,0.18136,50,4836.266667,38.69013333,,,,,
2025-05-14,26.5,32.8,28.7,77,0,8,5,100,3,SE,666.6666667,48.7,0.18104,50,4827.733333,38.62186667,,,,,
2025-05-15,26.7,33.2,29,72,0,8,6,90,4,E,666.6666667,49,0.1808,50,4821.333333,38.57066667,,,,,
2025-05-16,26.7,32.5,28.5,71,0,8,6,90,4,E,666.6666667,48.5,0.1812,50,4832,38.656,,,,,
2025-05-17,25.5,32.3,27.9,68,0,8,6,100,4,E,666.6666667,47.9,0.18168,50,4844.8,38.7584,,,,,
2025-05-18,26.1,31.3,28,67,0,8,8,140,4,E,666.6666667,48,0.1816,50,4842.666667,38.74133333,,,,,
2025-05-19,26,30.8,27.3,70,0,8,6,90,4,E,666.6666667,47.3,0.18216,50,4857.6,38.8608,,,,,
2025-05-20,25.4,31,27.3,70,8888,8,7,110,4,SE,666.6666667,47.3,0.18216,50,4857.6,38.8608,,,,,
2025-05-21,25.9,31.6,27.5,71,0,7.8,6,130,3,E,650,47,0.1824,50,4742.4,36.99072,,,,,
2025-05-22,26.2,32.6,28.4,75,0,8,5,80,3,E,666.6666667,48.4,0.18128,50,4834.133333,38.67306667,,,,,
2025-05-23,26.2,32.7,28.6,71,0,8,6,80,2,SE,666.6666667,48.6,0.18112,50,4829.866667,38.63893333,,,,,
2025-05-24,25.5,33,28.3,75,0,8,4,90,2,E,666.6666667,48.3,0.18136,50,4836.266667,38.69013333,,,,,
2025-05-25,26.2,34.4,29.1,78,0,8,4,80,2,E,666.6666667,49.1,0.18072,50,4819.2,38.5536,,,,,
2025-05-26,26.4,33.5,28.8,80,0,8,3,220,2,E,666.6666667,48.8,0.18096,50,4825.6,38.6048,,,,,
2025-05-27,26.2,32.2,28.6,83,0,8,3,190,1,SE,666.6666667,48.6,0.18112,50,4829.866667,38.63893333,,,,,
2025-05-28,25.2,33.6,28.4,79,0,8,5,70,2,SE,666.6666667,48.4,0.18128,50,4834.133333,38.67306667,,,,,
2025-05-29,26.9,32.4,28.2,83,0,8,5,120,3,E,666.6666667,48.2,0.18144,50,4838.4,38.7072,,,,,
